#token,count,percentage
ie,19,0.140741
an,11,0.081481
re,8,0.059259
er,7,0.051852
et,6,0.044444
ew,6,0.044444
ja,6,0.044444
pi,6,0.044444
wi,6,0.044444
aa,4,0.029630
st,4,0.029630
oe,3,0.022222
da,2,0.014815
di,2,0.014815
ei,2,0.014815
go,2,0.014815
il,2,0.014815
ma,2,0.014815
my,2,0.014815
mô,2,0.014815
ou,2,0.014815
ta,2,0.014815
ti,2,0.014815
ôr,2,0.014815
ar,1,0.007407
at,1,0.007407
en,1,0.007407
ff,1,0.007407
fi,1,0.007407
hi,1,0.007407
in,1,0.007407
ir,1,0.007407
is,1,0.007407
ji,1,0.007407
jo,1,0.007407
jy,1,0.007407
ka,1,0.007407
ko,1,0.007407
lê,1,0.007407
nt,1,0.007407
of,1,0.007407
op,1,0.007407
ro,1,0.007407
rs,1,0.007407
so,1,0.007407
sê,1,0.007407
tj,1,0.007407
vi,1,0.007407
vr,1,0.007407
