#token,count,percentage
at,9,0.116883
ts,6,0.077922
do,4,0.051948
ea,3,0.038961
in,3,0.038961
ca,3,0.038961
so,3,0.038961
ba,3,0.038961
al,2,0.025974
an,2,0.025974
ga,2,0.025974
th,2,0.025974
me,2,0.025974
ng,2,0.025974
hi,1,0.012987
es,1,0.012987
ai,1,0.012987
he,1,0.012987
oo,1,0.012987
ls,1,0.012987
zz,1,0.012987
er,1,0.012987
as,1,0.012987
wa,1,0.012987
ag,1,0.012987
li,1,0.012987
ki,1,0.012987
nd,1,0.012987
im,1,0.012987
lk,1,0.012987
to,1,0.012987
ta,1,0.012987
se,1,0.012987
eg,1,0.012987
et,1,0.012987
om,1,0.012987
re,1,0.012987
no,1,0.012987
ic,1,0.012987
el,1,0.012987
ce,1,0.012987
on,1,0.012987
be,1,0.012987
ot,1,0.012987
ti,1,0.012987
