#token,count,percentage
the,138,0.03121466
she,85,0.01922642
her,76,0.01719068
and,75,0.01696449
ing,73,0.01651210
was,53,0.01198824
ver,45,0.01017869
thi,41,0.00927392
hat,37,0.00836915
ice,37,0.00836915
all,35,0.00791676
ere,30,0.00678580
ali,29,0.00655960
for,29,0.00655960
hin,29,0.00655960
lic,28,0.00633341
not,28,0.00633341
tha,28,0.00633341
own,27,0.00610722
ery,25,0.00565483
dow,24,0.00542864
ght,24,0.00542864
but,23,0.00520244
out,23,0.00520244
ith,22,0.00497625
ers,20,0.00452386
had,20,0.00452386
oul,20,0.00452386
uld,20,0.00452386
you,20,0.00452386
eve,19,0.00429767
tho,19,0.00429767
tle,19,0.00429767
ttl,19,0.00429767
ugh,19,0.00429767
itt,18,0.00407148
oug,18,0.00407148
hou,17,0.00384528
see,17,0.00384528
der,16,0.00361909
ent,16,0.00361909
igh,16,0.00361909
ink,16,0.00361909
lit,16,0.00361909
hen,15,0.00339290
his,15,0.00339290
nde,15,0.00339290
sel,15,0.00339290
und,15,0.00339290
way,15,0.00339290
ear,14,0.00316670
eat,14,0.00316670
elf,14,0.00316670
ell,14,0.00316670
ome,14,0.00316670
oor,14,0.00316670
whe,14,0.00316670
how,13,0.00294051
ook,13,0.00294051
oun,13,0.00294051
rse,13,0.00294051
ter,13,0.00294051
whi,13,0.00294051
wit,13,0.00294051
ain,12,0.00271432
den,12,0.00271432
ike,12,0.00271432
lik,12,0.00271432
oth,12,0.00271432
ats,11,0.00248812
bit,11,0.00248812
get,11,0.00248812
ime,11,0.00248812
ind,11,0.00248812
int,11,0.00248812
ong,11,0.00248812
tim,11,0.00248812
ard,10,0.00226193
ate,10,0.00226193
ble,10,0.00226193
cou,10,0.00226193
din,10,0.00226193
doo,10,0.00226193
hal,10,0.00226193
ked,10,0.00226193
ond,10,0.00226193
one,10,0.00226193
ple,10,0.00226193
rou,10,0.00226193
ten,10,0.00226193
wer,10,0.00226193
wha,10,0.00226193
yin,10,0.00226193
abb,9,0.00203574
aid,9,0.00203574
bbi,9,0.00203574
fou,9,0.00203574
hea,9,0.00203574
hic,9,0.00203574
ich,9,0.00203574
lon,9,0.00203574
nly,9,0.00203574
nto,9,0.00203574
pen,9,0.00203574
rab,9,0.00203574
rea,9,0.00203574
rie,9,0.00203574
rin,9,0.00203574
tin,9,0.00203574
uch,9,0.00203574
abo,8,0.00180955
ake,8,0.00180955
any,8,0.00180955
app,8,0.00180955
ark,8,0.00180955
bou,8,0.00180955
cur,8,0.00180955
hap,8,0.00180955
ill,8,0.00180955
ist,8,0.00180955
les,8,0.00180955
ned,8,0.00180955
now,8,0.00180955
