#token,count,percentage
ait,104,0.01941385
lle,102,0.01904051
ell,84,0.01568042
que,68,0.01269367
ent,51,0.00952025
ien,44,0.00821355
our,43,0.00802688
ais,39,0.00728019
ant,38,0.00709352
les,38,0.00709352
pas,37,0.00690685
tou,34,0.00634684
une,33,0.00616016
out,32,0.00597349
pou,30,0.00560015
ali,29,0.00541348
ice,28,0.00522681
men,28,0.00522681
rai,28,0.00522681
lic,27,0.00504013
mai,27,0.00504013
tai,27,0.00504013
vai,27,0.00504013
bie,26,0.00485346
com,26,0.00485346
par,26,0.00485346
éta,26,0.00485346
mme,25,0.00466679
uel,25,0.00466679
omm,24,0.00448012
tro,24,0.00448012
ava,23,0.00429345
dan,23,0.00429345
end,23,0.00429345
ire,23,0.00429345
ite,23,0.00429345
ouv,23,0.00429345
air,21,0.00392010
and,21,0.00392010
fai,21,0.00392010
lai,21,0.00392010
tre,21,0.00392010
tte,21,0.00392010
oir,20,0.00373343
ort,20,0.00373343
ans,19,0.00354676
qui,19,0.00354676
son,19,0.00354676
cha,18,0.00336009
des,18,0.00336009
eti,18,0.00336009
eur,18,0.00336009
ill,18,0.00336009
pet,18,0.00336009
sai,18,0.00336009
ssa,18,0.00336009
tit,18,0.00336009
ass,17,0.00317342
man,17,0.00317342
ser,17,0.00317342
ble,16,0.00298675
cel,16,0.00298675
ett,16,0.00298675
ndr,16,0.00298675
nge,16,0.00298675
rou,16,0.00298675
rès,16,0.00298675
sur,16,0.00298675
voi,16,0.00298675
ces,15,0.00280007
dre,15,0.00280007
ela,15,0.00280007
eme,15,0.00280007
est,15,0.00280007
moi,15,0.00280007
nde,15,0.00280007
ois,15,0.00280007
onn,15,0.00280007
pen,15,0.00280007
ran,15,0.00280007
rte,15,0.00280007
tra,15,0.00280007
uve,15,0.00280007
ang,14,0.00261340
ard,14,0.00261340
aut,14,0.00261340
din,14,0.00261340
por,14,0.00261340
res,14,0.00261340
rie,14,0.00261340
tes,14,0.00261340
ute,14,0.00261340
ver,14,0.00261340
nte,13,0.00242673
omb,13,0.00242673
ond,13,0.00242673
ses,13,0.00242673
sou,13,0.00242673
sse,13,0.00242673
ten,13,0.00242673
all,12,0.00224006
cou,12,0.00224006
don,12,0.00224006
err,12,0.00224006
eux,12,0.00224006
hau,12,0.00224006
lui,12,0.00224006
ous,12,0.00224006
per,12,0.00224006
ris,12,0.00224006
rri,12,0.00224006
age,11,0.00205339
arr,11,0.00205339
avo,11,0.00205339
cet,11,0.00205339
eau,11,0.00205339
eil,11,0.00205339
ens,11,0.00205339
era,11,0.00205339
ess,11,0.00205339
mbe,11,0.00205339
ong,11,0.00205339
ons,11,0.00205339
tom,11,0.00205339
uil,11,0.00205339
uri,11,0.00205339
uva,11,0.00205339
abl,10,0.00186672
api,10,0.00186672
ave,10,0.00186672
dit,10,0.00186672
iss,10,0.00186672
lon,10,0.00186672
lus,10,0.00186672
prè,10,0.00186672
ren,10,0.00186672
rit,10,0.00186672
ain,9,0.00168004
ape,9,0.00168004
auv,9,0.00168004
car,9,0.00168004
che,9,0.00168004
dis,9,0.00168004
gra,9,0.00168004
ina,9,0.00168004
int,9,0.00168004
isa,9,0.00168004
leu,9,0.00168004
nda,9,0.00168004
nne,9,0.00168004
oit,9,0.00168004
peu,9,0.00168004
riv,9,0.00168004
san,9,0.00168004
ssi,9,0.00168004
tan,9,0.00168004
uvr,9,0.00168004
vou,9,0.00168004
aie,8,0.00149337
att,8,0.00149337
con,8,0.00149337
deu,8,0.00149337
dun,8,0.00149337
fon,8,0.00149337
ine,8,0.00149337
lap,8,0.00149337
lef,8,0.00149337
lla,8,0.00149337
mêm,8,0.00149337
ose,8,0.00149337
oup,8,0.00149337
pin,8,0.00149337
plu,8,0.00149337
pui,8,0.00149337
qua,8,0.00149337
rdi,8,0.00149337
rem,8,0.00149337
rra,8,0.00149337
tei,8,0.00149337
ter,8,0.00149337
ure,8,0.00149337
vre,8,0.00149337
ême,8,0.00149337
alo,7,0.00130670
cle,7,0.00130670
dor,7,0.00130670
ein,7,0.00130670
ers,7,0.00130670
ins,7,0.00130670
ira,7,0.00130670
itu,7,0.00130670
lor,7,0.00130670
nai,7,0.00130670
oin,7,0.00130670
ont,7,0.00130670
ord,7,0.00130670
ors,7,0.00130670
pro,7,0.00130670
rap,7,0.00130670
roi,7,0.00130670
rop,7,0.00130670
rre,7,0.00130670
sag,7,0.00130670
sen,7,0.00130670
ste,7,0.00130670
sui,7,0.00130670
tem,7,0.00130670
ues,7,0.00130670
uis,7,0.00130670
uit,7,0.00130670
urr,7,0.00130670
ust,7,0.00130670
dem,6,0.00112003
der,6,0.00112003
elq,6,0.00112003
ema,6,0.00112003
emp,6,0.00112003
enc,6,0.00112003
fer,6,0.00112003
foi,6,0.00112003
gen,6,0.00112003
ges,6,0.00112003
ier,6,0.00112003
ieu,6,0.00112003
imp,6,0.00112003
ind,6,0.00112003
ion,6,0.00112003
its,6,0.00112003
lan,6,0.00112003
lie,6,0.00112003
lqu,6,0.00112003
mar,6,0.00112003
mil,6,0.00112003
nav,6,0.00112003
ntr,6,0.00112003
nça,6,0.00112003
onc,6,0.00112003
pie,6,0.00112003
pre,6,0.00112003
pri,6,0.00112003
quo,6,0.00112003
sso,6,0.00112003
tab,6,0.00112003
trè,6,0.00112003
tud,6,0.00112003
têt,6,0.00112003
ude,6,0.00112003
uss,6,0.00112003
van,6,0.00112003
ves,6,0.00112003
voy,6,0.00112003
yeu,6,0.00112003
êtr,6,0.00112003
anc,5,0.00093336
apr,5,0.00093336
ara,5,0.00093336
art,5,0.00093336
ati,5,0.00093336
aus,5,0.00093336
aux,5,0.00093336
bea,5,0.00093336
bon,5,0.00093336
bou,5,0.00093336
cho,5,0.00093336
dir,5,0.00093336
ena,5,0.00093336
eut,5,0.00093336
fin,5,0.00093336
gar,5,0.00093336
hat,5,0.00093336
hos,5,0.00093336
ied,5,0.00093336
ils,5,0.00093336
ima,5,0.00093336
ive,5,0.00093336
jar,5,0.00093336
ler,5,0.00093336
mon,5,0.00093336
mps,5,0.00093336
nah,5,0.00093336
nan,5,0.00093336
ndi,5,0.00093336
ner,5,0.00093336
nna,5,0.00093336
nou,5,0.00093336
nti,5,0.00093336
nét,5,0.00093336
poi,5,0.00093336
pos,5,0.00093336
rav,5,0.00093336
reg,5,0.00093336
rer,5,0.00093336
rme,5,0.00093336
rta,5,0.00093336
sav,5,0.00093336
tar,5,0.00093336
tel,5,0.00093336
tio,5,0.00093336
uan,5,0.00093336
urs,5,0.00093336
vec,5,0.00093336
ven,5,0.00093336
vri,5,0.00093336
ère,5,0.00093336
éte,5,0.00093336
ête,5,0.00093336
arm,4,0.00074669
ats,4,0.00074669
auc,4,0.00074669
ber,4,0.00074669
bla,4,0.00074669
cep,4,0.00074669
del,4,0.00074669
eds,4,0.00074669
ega,4,0.00074669
emb,4,0.00074669
emi,4,0.00074669
enf,4,0.00074669
enç,4,0.00074669
epe,4,0.00074669
erm,4,0.00074669
erç,4,0.00074669
esc,4,0.00074669
gea,4,0.00074669
gue,4,0.00074669
gât,4,0.00074669
ies,4,0.00074669
ise,4,0.00074669
iso,4,0.00074669
ivr,4,0.00074669
jam,4,0.00074669
mag,4,0.00074669
mal,4,0.00074669
mbl,4,0.00074669
min,4,0.00074669
mot,4,0.00074669
nce,4,0.00074669
ndu,4,0.00074669
nir,4,0.00074669
nsa,4,0.00074669
ofo,4,0.00074669
ome,4,0.00074669
ore,4,0.00074669
oss,4,0.00074669
ots,4,0.00074669
pau,4,0.00074669
pla,4,0.00074669
ple,4,0.00074669
quu,4,0.00074669
raî,4,0.00074669
rda,4,0.00074669
rof,4,0.00074669
rti,4,0.00074669
rçu,4,0.00074669
sal,4,0.00074669
sem,4,0.00074669
sor,4,0.00074669
spa,4,0.00074669
squ,4,0.00074669
stc,4,0.00074669
str,4,0.00074669
tce,4,0.00074669
tea,4,0.00074669
tie,4,0.00074669
til,4,0.00074669
tir,4,0.00074669
tis,4,0.00074669
ton,4,0.00074669
tôt,4,0.00074669
uer,4,0.00074669
uoi,4,0.00074669
use,4,0.00074669
utr,4,0.00074669
uun,4,0.00074669
vit,4,0.00074669
yon,4,0.00074669
âte,4,0.00074669
çai,4,0.00074669
çon,4,0.00074669
çut,4,0.00074669
éla,4,0.00074669
éto,4,0.00074669
étr,4,0.00074669
abo,3,0.00056001
ade,3,0.00056001
ama,3,0.00056001
amp,3,0.00056001
aor,3,0.00056001
app,3,0.00056001
are,3,0.00056001
arg,3,0.00056001
arq,3,0.00056001
aya,3,0.00056001
bas,3,0.00056001
bli,3,0.00056001
bor,3,0.00056001
cer,3,0.00056001
chu,3,0.00056001
ché,3,0.00056001
cla,3,0.00056001
cop,3,0.00056001
cor,3,0.00056001
cro,3,0.00056001
cét,3,0.00056001
dab,3,0.00056001
dai,3,0.00056001
dev,3,0.00056001
due,3,0.00056001
dée,3,0.00056001
enn,3,0.00056001
equ,3,0.00056001
eri,3,0.00056001
eus,3,0.00056001
ext,3,0.00056001
ezm,3,0.00056001
fan,3,0.00056001
fra,3,0.00056001
gri,3,0.00056001
hut,3,0.00056001
ibl,3,0.00056001
ici,3,0.00056001
ide,3,0.00056001
idé,3,0.00056001
ili,3,0.00056001
ini,3,0.00056001
iqu,3,0.00056001
isi,3,0.00056001
isp,3,0.00056001
iva,3,0.00056001
ièr,3,0.00056001
jou,3,0.00056001
jus,3,0.00056001
lar,3,0.00056001
lau,3,0.00056001
lem,3,0.00056001
leq,3,0.00056001
lis,3,0.00056001
lou,3,0.00056001
mer,3,0.00056001
mes,3,0.00056001
mie,3,0.00056001
mpe,3,0.00056001
mpl,3,0.00056001
mpo,3,0.00056001
nco,3,0.00056001
nen,3,0.00056001
nfa,3,0.00056001
non,3,0.00056001
nse,3,0.00056001
nst,3,0.00056001
ope,3,0.00056001
oub,3,0.00056001
ouc,3,0.00056001
oui,3,0.00056001
oul,3,0.00056001
oyo,3,0.00056001
pei,3,0.00056001
rao,3,0.00056001
rat,3,0.00056001
rde,3,0.00056001
ret,3,0.00056001
rim,3,0.00056001
rir,3,0.00056001
rqu,3,0.00056001
rso,3,0.00056001
rép,3,0.00056001
rés,3,0.00056001
sco,3,0.00056001
set,3,0.00056001
sib,3,0.00056001
sit,3,0.00056001
soi,3,0.00056001
sta,3,0.00056001
stu,3,0.00056001
sét,3,0.00056001
tél,3,0.00056001
ubl,3,0.00056001
uce,3,0.00056001
uet,3,0.00056001
ula,3,0.00056001
ura,3,0.00056001
urn,3,0.00056001
vér,3,0.00056001
xtr,3,0.00056001
zmo,3,0.00056001
èsb,3,0.00056001
éle,3,0.00056001
éné,3,0.00056001
œur,3,0.00056001
