#token,count,percentage
* * *,24,0.01133144
chats mangent-ils les,3,0.00141643
tout à coup,3,0.00141643
au milieu de,2,0.00094429
cela me fait,2,0.00094429
celles du côté,2,0.00094429
comment elle en,2,0.00094429
elle en sortirait.,2,0.00094429
fermer comme un,2,0.00094429
il n'y a,2,0.00094429
juste à temps,2,0.00094429
la petite clef,2,0.00094429
les chats mangent-ils,2,0.00094429
les yeux sur,2,0.00094429
"mangent-ils les chauves-souris?""",2,0.00094429
n'y a pas,2,0.00094429
pas mal de,2,0.00094429
petite clef d'or.,2,0.00094429
quand tout à,2,0.00094429
que je me,2,0.00094429
se remit à,2,0.00094429
tout juste à,2,0.00094429
à peu près,2,0.00094429
à temps pour,2,0.00094429
à travers le,2,0.00094429
"""'quelle petite ignorante!'",1,0.00047214
"""_buvez-moi_"" mais alice",1,0.00047214
"""_poison_"" cela ne",1,0.00047214
"""_poison_,"" alice se",1,0.00047214
"""ah! j'arriverai trop",1,0.00047214
"""allons, à quoi",1,0.00047214
"""après une chute",1,0.00047214
"""buvez-moi"" admirablement imprimés",1,0.00047214
"""certes,"" dit alice,",1,0.00047214
"""cette chute n'en",1,0.00047214
"""dinah remarquera mon",1,0.00047214
"""eh mais, j'aurai",1,0.00047214
"""et quand même",1,0.00047214
"""et voyons s'il",1,0.00047214
"""examinons d'abord,"" dit-elle,",1,0.00047214
"""il n'y a",1,0.00047214
"""je dois être",1,0.00047214
"""je me sens",1,0.00047214
"""je pourrais bien",1,0.00047214
"""je vous conseille,",1,0.00047214
"""la belle avance,""",1,0.00047214
"""lequel est-ce? lequel",1,0.00047214
"""les chats mangent-ils",1,0.00047214
"""les chauves-souris mangent-elles",1,0.00047214
"""mais,"" pensa la",1,0.00047214
"""mangez-moi"" étaient admirablement",1,0.00047214
"""marmelade d'oranges."" mais,",1,0.00047214
"""on dirait que",1,0.00047214
"""oui, c'est bien",1,0.00047214
"""par ma moustache",1,0.00047214
"""pourvu qu'on n'oublie",1,0.00047214
"""qu'un livre sans",1,0.00047214
"""si cela me",1,0.00047214
"""si j'allais traverser",1,0.00047214
"""songez donc,"" se",1,0.00047214
"""tiens, je vais",1,0.00047214
"""voyons, dinah, dis-moi",1,0.00047214
"""à quoi cela",1,0.00047214
"'_poison_' ou non.""",1,0.00047214
(alice n'avait pas,1,0.00047214
(au fait c'était,1,0.00047214
(bien qu'elle les,1,0.00047214
(ce qui était,1,0.00047214
"(comme vous voyez,",1,0.00047214
(dinah c'était son,1,0.00047214
(elle n'était pas,1,0.00047214
(en y songeant,1,0.00047214
(quelle idée! faire,1,0.00047214
(qui certes n'était,1,0.00047214
(tant bien que,1,0.00047214
"* ""je me",1,0.00047214
"* * ""je",1,0.00047214
[illustration] c'est bien,1,0.00047214
[illustration] tout à,1,0.00047214
a fini de,1,0.00047214
a pas de,1,0.00047214
a pas un,1,0.00047214
a plus moyen,1,0.00047214
a écrit dessus,1,0.00047214
"absence ce soir,",1,0.00047214
admirablement imprimés en,1,0.00047214
admirablement tracés avec,1,0.00047214
ai bien peur;,1,0.00047214
aimait beaucoup à,1,0.00047214
"ainsi,"" se dit",1,0.00047214
"airs, j'en ai",1,0.00047214
alice avait appris,1,0.00047214
alice avait tellement,1,0.00047214
alice ne s'était,1,0.00047214
alice ne trouva,1,0.00047214
alice ouvrit la,1,0.00047214
alice part comme,1,0.00047214
alice pensa aussitôt,1,0.00047214
alice sauta sur,1,0.00047214
alice se hasarda,1,0.00047214
alice se promena,1,0.00047214
"alice vivement. ""je",1,0.00047214
alice était trop,1,0.00047214
alice était à,1,0.00047214
alice! en arrivant,1,0.00047214
"alice, ""après une",1,0.00047214
"alice, ""il n'y",1,0.00047214
"alice, ""je pourrais",1,0.00047214
"alice, ""on dirait",1,0.00047214
"alice, ""qu'un livre",1,0.00047214
"alice, ""à quoi",1,0.00047214
"alice, assise auprès",1,0.00047214
"alice, faute d'avoir",1,0.00047214
"alice. elle répétait,",1,0.00047214
"alice: ""si cela",1,0.00047214
allait devenir. d'abord,1,0.00047214
allait rapetisser encore.,1,0.00047214
allait tout droit,1,0.00047214
allait à merveille.,1,0.00047214
allait; mais il,1,0.00047214
aller de suite,1,0.00047214
alors dans une,1,0.00047214
alors tout son,1,0.00047214
alors une petite,1,0.00047214
alors à quel,1,0.00047214
"alors, arrive que",1,0.00047214
"alors?"" et elle",1,0.00047214
"antipathies, je crois.""",1,0.00047214
aperçut alors une,1,0.00047214
aperçut un rideau,1,0.00047214
appris pas mal,1,0.00047214
après avoir vainement,1,0.00047214
"après, alice était",1,0.00047214
"après, il lui",1,0.00047214
"après, voyant qu'il",1,0.00047214
"armoires. ""certes,"" dit",1,0.00047214
arriva tout juste,1,0.00047214
arrivait en effet.,1,0.00047214
arrivant à la,1,0.00047214
arrive le plus,1,0.00047214
"arrive que pourra!""",1,0.00047214
arrive tout juste,1,0.00047214
arrivé d'autres choses,1,0.00047214
arrivé tant de,1,0.00047214
as-tu jamais mangé,1,0.00047214
assise auprès de,1,0.00047214
attachée une étiquette,1,0.00047214
atteindre à la,1,0.00047214
attendit pourtant quelques,1,0.00047214
attendre à la,1,0.00047214
"attraper une chauve-souris,",1,0.00047214
au beau milieu,1,0.00047214
"au beurre,) elle",1,0.00047214
au cou de,1,0.00047214
au doigt une,1,0.00047214
au fond du,1,0.00047214
au jardin; mais,1,0.00047214
au moins quelque,1,0.00047214
au pied d'une,1,0.00047214
au plafond. il,1,0.00047214
"aucune. cependant, ayant",1,0.00047214
auprès de sa,1,0.00047214
aurait dû s'en,1,0.00047214
aussi elle se,1,0.00047214
aussi s'arrangea-t-elle de,1,0.00047214
aussitôt que ce,1,0.00047214
autour d'elle et,1,0.00047214
autour de la,1,0.00047214
"autre clef, ou",1,0.00047214
"aux antipathies, je",1,0.00047214
"aux cerises, de",1,0.00047214
aux yeux roses,1,0.00047214
aux yeux; une,1,0.00047214
"avaient été brûlés,",1,0.00047214
avait appris pas,1,0.00047214
avait des portes,1,0.00047214
avait disparu. elle,1,0.00047214
avait guère d'impossibles.,1,0.00047214
avait jeté les,1,0.00047214
avait lu dans,1,0.00047214
avait oublié la,1,0.00047214
avait paru tout,1,0.00047214
"avait point d'auditeur,",1,0.00047214
avait pour habitude,1,0.00047214
avait rien là,1,0.00047214
avait tellement pris,1,0.00047214
avalé. * *,1,0.00047214
"avance,"" pensait alice,",1,0.00047214
avant même d'avoir,1,0.00047214
avec ces mots,1,0.00047214
avec des raisins,1,0.00047214
avec moi? il,1,0.00047214
avec un gousset,1,0.00047214
avec étonnement ce,1,0.00047214
avoir jamais rien,1,0.00047214
avoir la faculté,1,0.00047214
avoir la flamme,1,0.00047214
avoir triché dans,1,0.00047214
avoir vainement tenté,1,0.00047214
ayant fait un,1,0.00047214
bah! impossible d'atteindre,1,0.00047214
"bas. aux antipathies,",1,0.00047214
"basse, éclairée par",1,0.00047214
beau jardin. elle,1,0.00047214
beau milieu de,1,0.00047214
beaucoup à faire,1,0.00047214
beaucoup à une,1,0.00047214
beaux et sonores.),1,0.00047214
"belle avance,"" pensait",1,0.00047214
"belle, alice sauta",1,0.00047214
"beurre,) elle eut",1,0.00047214
bien ce qui,1,0.00047214
bien clairement à,1,0.00047214
bien doucement; car,1,0.00047214
bien facile à,1,0.00047214
bien finir par,1,0.00047214
"bien juste.) ""eh",1,0.00047214
bien la peine,1,0.00047214
bien peur; mais,1,0.00047214
"bien probable.) tombe,",1,0.00047214
"bien profond, ou",1,0.00047214
bien près du,1,0.00047214
bien qu'elle aurait,1,0.00047214
bien que ce,1,0.00047214
"bien que mal,",1,0.00047214
"bien que, puisqu'elle",1,0.00047214
bien simples que,1,0.00047214
"bien sûr."" (dinah",1,0.00047214
bien trop sombre,1,0.00047214
bien un peu,1,0.00047214
bien vite fait,1,0.00047214
bien à peu,1,0.00047214
"bien étonnant, et",1,0.00047214
bientôt elle reprit:,1,0.00047214
bientôt tout avalé.,1,0.00047214
blanc aux yeux,1,0.00047214
blanc brûle les,1,0.00047214
blanc qui court,1,0.00047214
boit immodérément d'une,1,0.00047214
bon exercice que,1,0.00047214
"bon pleurer ainsi,""",1,0.00047214
"bon, (au fait",1,0.00047214
bout de chemin,1,0.00047214
bouteille (qui certes,1,0.00047214
"bouteille marquée ""_poison_""",1,0.00047214
bouteille n'était pas,1,0.00047214
bouteille était attachée,1,0.00047214
boîte en verre,1,0.00047214
brave chez nous!,1,0.00047214
"brillantes, de ces",1,0.00047214
brouiller le cœur,1,0.00047214
brusque qu'alice se,1,0.00047214
brûle les mains,1,0.00047214
"brûlés, dévorés par",1,0.00047214
"bêtes féroces, et",1,0.00047214
c'est bien ce,1,0.00047214
c'est bien facile,1,0.00047214
c'est bien à,1,0.00047214
c'est ce qui,1,0.00047214
c'était comme un,1,0.00047214
c'était son chat.),1,0.00047214
c'était un bon,1,0.00047214
car ce mot,1,0.00047214
car cette étrange,1,0.00047214
car elle avait,1,0.00047214
car elle eut,1,0.00047214
car elle ne,1,0.00047214
car la chaleur,1,0.00047214
car vous comprenez,1,0.00047214
carrés de fleurs,1,0.00047214
cartes géographiques et,1,0.00047214
"causeries!"". elle s'était",1,0.00047214
ce beau jardin.,1,0.00047214
ce mot ne,1,0.00047214
ce ne fût,1,0.00047214
